player_id,player_name,season,team,G,GS,IP,TBF,W,L,S,HD,H,HR,BB,SO,ERA,WHIP,WAR,FIP,RA9,rRA9,rRA9pf,K_pct,BB_pct,HR_per9,K_minus_BB,K_pct_reg,BB_pct_reg,HR_per9_reg,ERA_reg,FIP_reg
10368,윤성환,2016,16 P,28,28,180.0,767,11,10,0,0,202,25,41,85,4.35,1.35,4.48,5.64,4.75,4.72,4.55,0.1108213820078226,0.0534550195567144,1.25,0.0573663624511082,0.11114610109513226,0.05356878241343011,1.2479466312097385,4.349135484285092,5.634937629123587
10368,윤성환,2017,17 P,28,28,174.1,731,12,9,0,0,181,22,37,130,4.28,1.25,4.8,4.77,4.44,4.34,4.05,0.1778385772913816,0.0506155950752394,1.1372774267662265,0.1272229822161422,0.1778365920002127,0.05067110039642023,1.1362590662130863,4.277945539366135,4.768896625906899
10368,윤성환,2019,19 P,27,27,145.1,643,8,13,0,0,168,14,50,65,4.77,1.5,1.7,5.05,5.39,5.06,4.8,0.1010886469673405,0.077760497667185,0.8683666436940042,0.0233281493001555,0.1015686167219684,0.07768602130457915,0.8667053269589923,4.761808070756703,5.041785612320105
10381,차우찬,2016,16 P,24,24,152.1,671,12,6,0,0,168,16,65,120,4.73,1.53,3.26,5.01,5.14,5.05,4.93,0.1788375558867362,0.0968703427719821,0.9467455621301776,0.0819672131147541,0.17877718998813485,0.09672126213089964,0.9462987606072023,4.7264959023879936,5.0081300514132545
10381,차우찬,2017,17 P,28,28,175.2,732,10,7,0,0,171,20,38,157,3.43,1.19,5.1,4.12,3.84,3.81,3.96,0.2144808743169398,0.0519125683060109,1.0273972602739727,0.1625683060109289,0.21427094286683063,0.05196036631116409,1.0270088677293494,3.4327824287344506,4.122592503951749
10381,차우찬,2018,18 P,29,29,170.0,762,12,10,0,0,177,27,79,136,6.09,1.51,1.14,5.84,6.3,6.24,6.68,0.1784776902887139,0.1036745406824147,1.4294117647058824,0.0748031496062992,0.1785995220272055,0.1034775881006456,1.4275864020403886,6.0810386194137305,5.8338977499220785
10381,차우찬,2019,19 P,29,28,168.1,730,13,8,0,0,181,16,59,124,4.12,1.43,1.95,4.28,4.65,4.59,4.89,0.1698630136986301,0.0808219178082191,0.8566329565734682,0.0890410958904109,0.16987099249472618,0.08073946708842164,0.8552669915358294,4.116766168761409,4.277456404257643
10425,금민철,2018,18 P,29,29,156.1,720,8,12,0,0,212,19,68,79,5.41,1.79,2.06,6.0,5.99,5.79,5.73,0.1097222222222222,0.0944444444444444,1.0954516335682256,0.0152777777777777,0.110292487628642,0.09428881875861023,1.0955905458237203,5.404574181538814,5.992339371334663
10590,류현진,2024,24 P,28,28,158.1,679,10,8,0,0,182,12,33,135,3.87,1.36,3.84,3.73,4.43,4.37,4.42,0.198821796759941,0.04860088365243,0.683111954459203,0.150220913107511,0.19890733356016066,0.048713658040506876,0.6847215757947366,3.8702855313872564,3.7333818906119896
10641,니퍼트,2016,16 P,28,27,167.2,701,22,3,0,0,151,15,57,142,2.95,1.24,6.29,4.41,3.27,3.26,3.31,0.202567760342368,0.0813124108416547,0.8074162679425838,0.1212553495007132,0.20237173047595006,0.08126921040039789,0.8078379325146413,2.957393119236633,4.411865106250709
10641,니퍼트,2017,17 P,30,30,179.2,782,14,8,0,0,175,20,77,161,4.06,1.4,4.07,4.79,4.41,4.32,4.57,0.2058823529411764,0.09846547314578,1.0044642857142858,0.1074168797953964,0.20572479800147903,0.09825386994749045,1.004211778545568,4.059224550183186,4.788816865684229
10641,니퍼트,2018,18 P,29,28,175.2,765,8,8,0,0,209,26,39,165,4.25,1.41,4.62,4.59,4.51,4.45,4.33,0.2156862745098039,0.0509803921568627,1.3356164383561644,0.1647058823529412,0.21559333831832245,0.051088310755290814,1.334377268722511,4.25174576571934,4.5911720501513935
10652,임찬규,2018,18 P,29,27,146.2,680,11,11,1,0,195,23,47,125,5.77,1.65,1.1,5.33,6.38,6.17,6.51,0.1838235294117647,0.0691176470588235,1.4158686730506158,0.1147058823529411,0.18392874264654058,0.06912361174728189,1.4138401817181145,5.761763613585242,5.326375782857851
10652,임찬규,2020,20 P,27,26,147.2,641,10,9,0,0,143,14,65,138,4.08,1.41,2.7,4.26,4.63,4.51,4.83,0.2152886115444617,0.1014040561622464,0.8559782608695653,0.1138845553822152,0.2151227260989679,0.10121310268977017,0.8551335921989492,4.078574908189799,4.2587834706269705
10652,임찬규,2023,23 P,30,26,144.2,632,14,3,0,1,142,10,54,103,3.42,1.35,3.29,4.16,3.92,3.72,3.91,0.1629746835443038,0.0854430379746835,0.6241331484049931,0.0775316455696202,0.16319216760976307,0.08530824890411277,0.6235570472149917,3.4188833355521377,4.155488603616807
10652,임찬규,2025,25 P,27,27,160.1,670,11,7,0,0,163,9,40,107,3.03,1.27,4.9,3.82,3.42,3.21,3.35,0.1597014925373134,0.0597014925373134,0.5059337913803873,0.1,0.16011590015426683,0.05974704788463454,0.5068895177376521,3.032861928136005,3.8179055691637678
10783,문승원,2017,17 P,29,29,155.1,695,6,12,0,0,181,25,54,86,5.33,1.51,1.95,6.03,5.68,5.49,5.49,0.1237410071942446,0.0776978417266187,1.4506769825918762,0.0460431654676259,0.12408533740317135,0.07758661004876721,1.4475269858674655,5.32096901949398,6.020690577811006
10783,문승원,2018,18 P,31,27,150.2,656,8,9,1,1,180,24,37,122,4.6,1.44,2.89,5.06,5.14,5.04,5.0,0.1859756097560975,0.0564024390243902,1.438082556591212,0.1295731707317073,0.1860638062363533,0.056492341208090636,1.435960811831392,4.599719602643834,5.058257375903938
10783,문승원,2019,19 P,26,23,144.0,586,11,7,0,2,130,23,33,99,3.88,1.13,3.53,4.77,3.94,3.94,3.66,0.1689419795221843,0.0563139931740614,1.4375,0.1126279863481228,0.16895763640905526,0.05638685874589869,1.431901022542819,3.8778838561210645,4.763654330758395
10783,문승원,2020,20 P,25,25,145.2,610,6,8,0,0,136,13,45,117,3.65,1.24,3.87,4.13,3.95,3.89,3.88,0.1918032786885246,0.0737704918032786,0.8057851239669422,0.1180327868852459,0.19179576233991827,0.07376593817631547,0.8052722186312194,3.6514965895603844,4.129656021524741
10825,김원중,2018,18 P,30,30,145.1,681,8,7,0,0,173,28,77,137,6.94,1.72,0.81,6.14,7.12,6.95,6.81,0.2011747430249633,0.1130690161527166,1.7367332873880084,0.0881057268722467,0.20116198583499623,0.11277419502367607,1.7324933247700647,6.923693387541054,6.1308043479580805
10863,한현희,2018,18 P,30,28,169.0,756,11,7,0,0,208,22,49,105,4.79,1.52,3.28,5.61,5.22,5.16,5.26,0.1388888888888889,0.0648148148148148,1.1715976331360949,0.074074074074074,0.1392443125870176,0.06484529031119764,1.1712780867582735,4.788632964233811,5.605214795509857
10909,임기영,2021,21 P,28,28,153.0,662,8,8,0,0,155,15,45,129,4.88,1.31,2.7,3.96,5.0,4.64,4.54,0.1948640483383685,0.0679758308157099,0.8823529411764706,0.1268882175226586,0.1949469036991256,0.06805071687352132,0.8814795465734304,4.871153942678791,3.9586674477250665
10933,소사,2016,16 P,33,33,199.0,870,10,9,0,0,258,12,38,107,5.16,1.49,3.2,4.35,5.47,5.16,5.58,0.1229885057471264,0.0436781609195402,0.542713567839196,0.0793103448275862,0.12322154090244511,0.04383000059805379,0.5443917012448133,5.155167613278008,4.351868554356846
10933,소사,2017,17 P,30,29,185.1,769,11,11,1,0,189,11,38,153,3.88,1.22,4.8,3.53,4.18,4.09,4.25,0.1989596879063719,0.0494148244473342,0.5348460291734198,0.1495448634590377,0.19884432662158597,0.04947350124672521,0.537124999967283,3.8802163564911885,3.5356249285131547
10933,소사,2018,18 P,27,27,181.1,760,9,9,0,0,192,16,28,181,3.52,1.21,5.21,3.43,4.12,4.07,4.2,0.2381578947368421,0.0368421052631578,0.7951408061844285,0.2013157894736842,0.2379445670203892,0.03702416755825246,0.7969098009275477,3.5256979896746174,3.437504202288169
11090,류제국,2016,16 P,29,29,161.1,701,13,11,0,0,152,14,70,138,4.3,1.38,3.73,4.88,4.63,4.56,4.8,0.1968616262482168,0.0998573466476462,0.782122905027933,0.0970042796005706,0.19669342088463043,0.09969811623416447,0.7827164728498622,4.29934313791241,4.879035847448299
11149,신재영,2016,16 P,30,30,168.2,718,15,7,0,0,192,19,21,99,3.9,1.26,5.43,4.7,4.06,3.89,3.87,0.1378830083565459,0.0292479108635097,1.0166468489892986,0.1086350974930362,0.13807043464764712,0.02951267555475525,1.015829434095524,3.901734767468095,4.700140135173577
11156,해커,2017,17 P,26,26,160.1,672,12,7,0,0,159,14,29,97,3.42,1.17,5.52,4.56,3.59,3.47,3.49,0.144345238095238,0.0431547619047619,0.7870081199250468,0.1011904761904761,0.14455098430698515,0.04326140259321156,0.7880754965481772,3.4231053007014913,4.560104278065165
