player_id,player_name,season,team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,HP,IB,SB,CS,AVG,OBP,SLG,OPS,WAR,oWAR,dWAR,wRC+,R_per_PA,BB_pct,K_pct,HR_pct,ISO,1B,wOBA,BB_pct_reg,K_pct_reg,HR_pct_reg,ISO_reg,wOBA_reg,OBP_reg,SLG_reg
10035,이용규,2020,20 CF,120,487,419,60,120,14,2,1,32,59,36,6,0,17,8,0.286,0.381,0.337,0.718,1.26,1.91,-0.65,102.2,0.13,0.1211498973305954,0.0739219712525667,0.002053388090349,0.051,103,0.3281724845995893,0.12110913038599028,0.07407910284654301,0.0021118927323823884,0.051242518620183065,0.32825829424060077,0.38099232740736116,0.33727148897551934
10035,이용규,2021,21 CF,133,547,459,88,136,16,8,1,43,71,46,5,2,17,2,0.296,0.392,0.373,0.765,3.42,3.1,0.32,119.5,0.143,0.129798903107861,0.0840950639853747,0.0018281535648994,0.077,111,0.3414259597806215,0.12976919215774127,0.08422947272158336,0.0018720772355730775,0.07712946900543473,0.3414507918628191,0.39196404902138726,0.3731084256401335
10082,이재원,2016,16 C,130,472,411,49,119,15,0,15,64,43,76,9,3,1,5,0.29,0.364,0.436,0.8,1.49,1.91,-0.43,97.1,0.137,0.0911016949152542,0.1610169491525423,0.0317796610169491,0.146,89,0.3515042372881356,0.09112665877891829,0.16098997137339008,0.03178478749801797,0.1460878298011946,0.35158245720526093,0.3640587502901557,0.436142025331474
10082,이재원,2018,18 C,130,471,407,63,134,24,0,17,57,43,65,12,0,0,0,0.329,0.405,0.514,0.919,3.72,4.07,-0.35,126.8,0.183,0.0912951167728237,0.138004246284501,0.0360934182590233,0.185,93,0.3975796178343949,0.09128632094747799,0.1380743419183789,0.036100969181546747,0.18503647909824628,0.3975590141421516,0.4049486367419354,0.5140007219181547
10082,이재원,2019,19 C,139,502,451,33,121,19,0,12,75,34,59,9,2,1,0,0.268,0.327,0.39,0.717,2.58,2.62,-0.04,93.9,0.113,0.0677290836653386,0.1175298804780876,0.0239043824701195,0.122,90,0.3174701195219123,0.06778724094048637,0.11758524765185824,0.023903216129651312,0.12204086506266991,0.31753970572068985,0.3270799645240087,0.39008775470886026
10092,나주환,2017,17 SS,122,452,419,69,122,24,1,19,65,19,85,5,3,0,3,0.291,0.329,0.489,0.818,1.38,1.7,-0.33,97.9,0.134,0.0420353982300885,0.1880530973451327,0.0420353982300885,0.198,78,0.3498451327433628,0.04213926439460111,0.18799091610994206,0.042018500805546026,0.19796933027951308,0.34991218195211965,0.3291129302632585,0.48901412070135614
10093,모창민,2017,17 3B,136,527,474,64,148,25,3,17,90,39,81,2,2,9,6,0.312,0.361,0.485,0.846,2.12,1.95,0.17,112.5,0.149,0.0740037950664136,0.1537001897533206,0.032258064516129,0.173,103,0.3649525616698292,0.07403236130824672,0.1537119034049313,0.032262084971424874,0.17302103525874887,0.3649814742884662,0.3610362829720759,0.48501969067748923
10096,박정권,2016,16 1B,125,468,422,59,117,17,3,18,59,35,99,5,0,4,0,0.277,0.337,0.46,0.797,1.09,0.5,0.59,93.1,0.132,0.0747863247863247,0.2115384615384615,0.0384615384615384,0.183,79,0.3468162393162393,0.07484628913097725,0.21140353189683053,0.038452461591817685,0.18300968762465897,0.3469051220854763,0.3371168206551038,0.46009206392705165
10101,이호준,2016,16 DH,119,472,399,46,119,20,0,21,87,65,78,2,6,3,2,0.298,0.396,0.506,0.902,1.96,1.96,0.0,127.0,0.174,0.1377118644067796,0.1652542372881356,0.0444915254237288,0.208,78,0.3923940677966101,0.13763828668589503,0.1652183011831153,0.04446977692719348,0.20795675157709312,0.39238583986910863,0.3959910970132001,0.5059940337881337
10103,정근우,2016,16 2B,138,650,575,121,178,31,2,18,88,60,58,9,2,22,6,0.31,0.381,0.464,0.845,4.24,4.01,0.23,111.3,0.157,0.0923076923076923,0.0892307692307692,0.0276923076923076,0.154,127,0.3712615384615385,0.09232397788391454,0.08932143849402997,0.02770231103926646,0.1540515261074732,0.3712880219018255,0.3810165727914649,0.464060181231624
