player_id,player_name,season,team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,HP,IB,SB,CS,AVG,OBP,SLG,OPS,WAR,oWAR,dWAR,wRC+,R_per_PA,BB_pct,K_pct,HR_pct,ISO,1B,wOBA
10187,김현수,2020,20 LF,142,619,547,98,181,35,2,22,119,63,53,2,7,0,2,0.331,0.397,0.523,0.92,4.83,5.32,-0.5,153.7,0.188,0.10177705977382875,0.08562197092084006,0.035541195476575124,0.192,122,0.39964458804523423
10187,김현수,2021,21 LF,140,595,506,70,144,23,1,17,96,77,42,3,5,3,0,0.285,0.376,0.435,0.811,3.45,3.63,-0.19,132.2,0.153,0.12941176470588237,0.07058823529411765,0.02857142857142857,0.15000000000000002,103,0.35880672268907565
10187,김현수,2022,22 LF,141,604,524,78,150,25,2,23,106,71,62,5,7,2,1,0.286,0.375,0.473,0.848,4.31,4.67,-0.35,146.5,0.162,0.11754966887417219,0.10264900662251655,0.0380794701986755,0.187,100,0.372317880794702
10187,김현수,2023,23 DH,133,556,488,53,143,22,2,6,88,58,53,1,4,2,1,0.293,0.364,0.383,0.747,1.69,1.76,-0.07,114.4,0.13,0.10431654676258993,0.09532374100719425,0.01079136690647482,0.09000000000000002,113,0.3328956834532374
10187,김현수,2024,24 LF,137,583,517,61,152,36,2,8,69,47,76,9,1,6,1,0.294,0.357,0.418,0.775,1.09,1.52,-0.43,104.7,0.136,0.08061749571183534,0.13036020583190394,0.0137221269296741,0.124,106,0.3413550600343053
10187,김현수,2025,25 LF,140,552,483,66,144,24,0,12,90,64,73,4,1,4,0,0.298,0.384,0.422,0.806,3.36,3.61,-0.24,133.1,0.156,0.11594202898550725,0.1322463768115942,0.021739130434782608,0.124,108,0.36021739130434777
10188,민병헌,2016,16 RF,134,579,511,98,166,31,4,16,87,48,91,15,1,9,2,0.325,0.396,0.495,0.891,3.42,3.73,-0.31,133.2,0.175,0.08290155440414508,0.15716753022452504,0.027633851468048358,0.16999999999999998,115,0.38984455958549225
10188,민병헌,2017,17 RF,123,520,447,73,136,21,0,14,71,47,74,19,2,3,4,0.304,0.389,0.445,0.834,2.1,2.59,-0.49,124.7,0.157,0.09038461538461538,0.1423076923076923,0.026923076923076925,0.14100000000000001,101,0.36936538461538465
10188,민병헌,2018,18 CF,118,494,443,74,141,21,0,17,66,35,68,8,3,8,3,0.318,0.374,0.481,0.855,3.36,2.84,0.51,109.3,0.158,0.0708502024291498,0.13765182186234817,0.03441295546558704,0.16299999999999998,103,0.37236842105263157
10189,박건우,2016,16 RF,132,540,484,95,162,36,4,20,83,38,86,9,0,17,6,0.335,0.39,0.55,0.94,4.17,4.44,-0.27,139.0,0.184,0.07037037037037037,0.15925925925925927,0.037037037037037035,0.21500000000000002,102,0.4031111111111111
10189,박건우,2017,17 CF,131,543,483,91,177,40,2,20,78,41,64,10,2,20,3,0.366,0.424,0.582,1.006,6.13,6.36,-0.23,168.6,0.212,0.07550644567219153,0.11786372007366483,0.03683241252302026,0.21599999999999997,115,0.4307182320441989
