player_id,player_name,season,team,G,GS,IP,TBF,W,L,S,HD,H,HR,BB,SO,ERA,WHIP,WAR,FIP,RA9,rRA9,rRA9pf,K_pct,BB_pct,HR_per9,K_minus_BB
10909,임기영,2021,21 P,28,28,153.0,662,8,8,0,0,155,15,45,129,4.88,1.31,2.7,3.96,5.0,4.64,4.54,0.19486404833836857,0.06797583081570997,0.8823529411764706,0.1268882175226586
10933,소사,2016,16 P,33,33,199.0,870,10,9,0,0,258,12,38,107,5.16,1.49,3.2,4.35,5.47,5.16,5.58,0.12298850574712644,0.04367816091954023,0.542713567839196,0.07931034482758621
10933,소사,2017,17 P,30,29,185.1,769,11,11,1,0,189,11,38,153,3.88,1.22,4.8,3.53,4.18,4.09,4.25,0.19895968790637192,0.0494148244473342,0.5348460291734198,0.14954486345903772
10933,소사,2018,18 P,27,27,181.1,760,9,9,0,0,192,16,28,181,3.52,1.21,5.21,3.43,4.12,4.07,4.2,0.2381578947368421,0.03684210526315789,0.7951408061844285,0.2013157894736842
11090,류제국,2016,16 P,29,29,161.1,701,13,11,0,0,152,14,70,138,4.3,1.38,3.73,4.88,4.63,4.56,4.8,0.19686162624821682,0.09985734664764621,0.782122905027933,0.0970042796005706
11149,신재영,2016,16 P,30,30,168.2,718,15,7,0,0,192,19,21,99,3.9,1.26,5.43,4.7,4.06,3.89,3.87,0.13788300835654596,0.02924791086350975,1.0166468489892986,0.10863509749303621
11156,해커,2017,17 P,26,26,160.1,672,12,7,0,0,159,14,29,97,3.42,1.17,5.52,4.56,3.59,3.47,3.49,0.14434523809523808,0.043154761904761904,0.7870081199250468,0.10119047619047618
11222,하영민,2024,24 P,28,28,150.1,671,9,8,0,0,168,8,58,101,4.37,1.5,2.73,4.53,4.91,4.74,5.05,0.15052160953800298,0.08643815201192251,0.4796802131912059,0.06408345752608047
11222,하영민,2025,25 P,28,28,153.1,669,7,14,0,0,169,13,41,134,4.99,1.37,1.41,3.79,5.28,5.05,5.36,0.20029895366218237,0.061285500747384154,0.7642064010450687,0.13901345291479822
11308,고영표,2021,21 P,26,25,166.2,664,11,6,0,1,147,9,27,130,2.92,1.04,5.58,3.22,3.19,3.17,3.15,0.19578313253012047,0.04066265060240964,0.4873646209386282,0.15512048192771083
11308,고영표,2022,22 P,28,28,182.1,758,13,8,0,0,191,7,23,156,3.26,1.17,5.43,2.75,3.41,3.33,3.21,0.20580474934036938,0.030343007915567283,0.34596375617792424,0.1754617414248021
11308,고영표,2023,23 P,28,27,174.2,706,12,7,0,0,181,7,19,114,2.78,1.15,6.05,3.19,2.94,2.96,2.91,0.16147308781869688,0.026912181303116147,0.3616532721010333,0.13456090651558072
11308,고영표,2025,25 P,29,26,161.0,685,11,8,0,0,170,10,30,154,3.3,1.24,4.17,3.14,3.91,3.82,3.65,0.22481751824817517,0.043795620437956206,0.5590062111801242,0.18102189781021896
11310,박세웅,2017,17 P,28,28,171.1,725,12,6,0,0,170,21,56,117,3.68,1.32,5.72,5.13,3.89,3.73,3.53,0.16137931034482758,0.07724137931034483,1.1046171829339568,0.08413793103448275
11310,박세웅,2020,20 P,28,28,147.1,658,8,10,0,0,177,20,47,108,4.7,1.52,2.46,4.94,5.19,5.15,5.03,0.1641337386018237,0.07142857142857142,1.2236573759347382,0.09270516717325228
11310,박세웅,2021,21 P,28,28,163.0,685,10,9,0,0,141,20,53,125,3.98,1.19,4.46,4.51,4.14,4.0,3.8,0.18248175182481752,0.07737226277372262,1.1042944785276074,0.10510948905109489
11310,박세웅,2022,22 P,28,28,157.1,679,10,11,0,0,179,8,32,146,3.89,1.34,2.82,2.84,4.58,4.43,4.31,0.21502209131075112,0.047128129602356406,0.4583068109484405,0.1678939617083947
11310,박세웅,2023,23 P,27,27,154.0,657,9,7,0,0,145,8,59,129,3.45,1.32,3.68,3.62,4.09,3.93,3.82,0.1963470319634703,0.0898021308980213,0.4675324675324675,0.106544901065449
11310,박세웅,2024,24 P,30,30,173.1,759,6,11,0,0,188,13,56,124,4.78,1.41,3.52,4.57,5.35,5.07,4.95,0.16337285902503293,0.07378129117259552,0.6759098786828424,0.08959156785243741
11310,박세웅,2025,25 P,29,28,160.2,722,11,13,0,0,183,15,54,156,4.93,1.48,1.95,3.84,5.55,5.25,5.14,0.21606648199445982,0.07479224376731301,0.8426966292134832,0.1412742382271468
11318,엄상백,2024,24 P,29,29,156.2,675,13,10,0,0,164,26,42,159,4.88,1.31,3.39,4.67,5.06,4.91,4.74,0.23555555555555555,0.06222222222222222,1.4980793854033292,0.17333333333333334
11368,켈리,2016,16 P,31,31,200.1,846,9,8,0,0,205,15,60,152,3.68,1.32,6.44,4.27,4.09,3.87,3.85,0.17966903073286053,0.07092198581560284,0.6746626686656672,0.10874704491725769
11368,켈리,2017,17 P,30,30,190.0,815,16,7,0,0,204,16,45,189,3.6,1.31,5.35,3.6,4.03,3.99,3.88,0.23190184049079754,0.05521472392638037,0.7578947368421053,0.17668711656441716
11368,켈리,2018,18 P,28,28,158.1,674,12,7,0,0,152,18,47,161,4.09,1.26,4.32,4.33,4.43,4.39,4.22,0.23887240356083086,0.06973293768545995,1.0246679316888045,0.16913946587537093
11379,최원태,2017,17 P,25,25,149.1,637,11,7,0,0,161,19,34,126,4.46,1.31,3.65,4.57,4.58,4.46,4.51,0.1978021978021978,0.05337519623233909,1.1468812877263581,0.14442700156985872
11379,최원태,2019,19 P,27,27,157.1,666,11,5,0,0,165,5,36,105,3.38,1.28,3.78,3.33,3.89,3.76,3.82,0.15765765765765766,0.05405405405405406,0.2864417568427753,0.1036036036036036
11379,최원태,2023,23 P,26,26,146.2,632,9,7,0,0,149,12,46,118,4.3,1.33,2.48,3.89,4.48,4.46,4.44,0.18670886075949367,0.07278481012658228,0.7387140902872777,0.11392405063291139
11380,피어밴드,2016,16 P,31,30,182.0,803,7,13,0,0,231,23,48,144,4.45,1.53,4.51,4.75,4.8,4.71,4.58,0.1793275217932752,0.05977584059775841,1.1373626373626373,0.1195516811955168
11380,피어밴드,2017,17 P,26,26,160.0,657,8,10,0,0,153,20,31,132,3.04,1.15,4.92,4.37,3.77,3.77,3.75,0.2009132420091324,0.0471841704718417,1.125,0.1537290715372907
11380,피어밴드,2018,18 P,27,26,163.1,707,8,8,0,0,186,24,38,141,4.3,1.37,3.39,4.7,4.96,4.94,4.87,0.19943422913719944,0.05374823196605375,1.3243408951563458,0.1456859971711457
11392,레일리,2016,16 P,31,31,184.2,808,8,10,0,0,207,21,51,147,4.34,1.4,4.32,4.73,5.12,5.01,4.8,0.18193069306930693,0.06311881188118812,1.0260586319218241,0.1188118811881188
11392,레일리,2017,17 P,30,30,187.1,798,13,7,0,0,199,19,44,156,3.8,1.3,5.55,4.34,4.18,3.99,3.9,0.19548872180451127,0.05513784461152882,0.9139497594869054,0.14035087719298245
11392,레일리,2018,18 P,30,30,178.1,775,11,13,0,0,180,24,54,178,4.74,1.31,3.66,4.69,5.35,5.24,5.05,0.2296774193548387,0.0696774193548387,1.2128017967434026,0.16
11392,레일리,2019,19 P,30,30,181.0,791,5,14,0,0,191,10,65,140,3.88,1.41,3.81,3.78,4.38,4.14,3.98,0.17699115044247787,0.08217446270543616,0.4972375690607735,0.09481668773704172
11393,린드블럼,2016,16 P,30,30,177.1,791,10,13,0,0,197,28,77,148,5.28,1.55,3.39,5.54,5.53,5.5,5.25,0.18710493046776233,0.09734513274336283,1.4229249011857708,0.0897597977243995
11393,린드블럼,2018,18 P,26,26,168.2,681,15,4,0,0,142,16,38,157,2.88,1.07,6.71,3.99,2.99,2.99,3.19,0.2305433186490455,0.055800293685756244,0.8561236623067777,0.17474302496328925
11393,린드블럼,2019,19 P,30,30,194.2,773,20,3,0,0,165,13,29,189,2.5,1.0,6.75,2.73,2.64,2.59,2.83,0.2445019404915912,0.037516170763260026,0.6024716786817714,0.2069857697283312
11410,김민우,2021,21 P,29,28,155.1,662,14,10,0,0,131,15,76,125,4.0,1.33,3.86,4.56,4.11,3.84,3.93,0.18882175226586104,0.1148036253776435,0.8704061895551257,0.07401812688821753
11410,김민우,2022,22 P,29,29,163.0,711,6,11,0,0,143,16,84,129,4.36,1.39,2.86,4.61,4.53,4.31,4.33,0.18143459915611815,0.11814345991561181,0.8834355828220859,0.06329113924050633
11497,스튜어트,2016,16 P,27,27,150.0,653,12,8,0,0,160,11,55,118,4.56,1.43,3.49,4.45,4.74,4.6,4.76,0.1807044410413476,0.08422664624808576,0.66,0.09647779479326185
12295,윌커슨,2024,24 P,32,32,196.2,816,12,8,0,0,210,18,27,167,3.84,1.21,6.06,3.67,4.12,4.06,3.89,0.20465686274509803,0.03308823529411765,0.8256880733944955,0.1715686274509804
12509,헥터,2016,16 P,31,31,206.2,868,15,5,0,0,211,7,51,139,3.4,1.27,6.57,3.82,3.83,3.83,3.84,0.16013824884792627,0.0587557603686636,0.3055286129970902,0.10138248847926268
12509,헥터,2017,17 P,30,30,201.2,854,20,5,0,0,221,21,45,149,3.48,1.32,6.45,4.35,3.7,3.7,3.71,0.17447306791569087,0.05269320843091335,0.9393638170974156,0.12177985948477751
12509,헥터,2018,18 P,29,29,174.0,753,11,10,0,0,209,25,36,137,4.6,1.41,2.98,4.78,5.28,5.28,5.36,0.18193891102257637,0.04780876494023904,1.293103448275862,0.1341301460823373
12510,지크,2016,16 P,30,29,152.0,705,10,13,0,0,188,16,68,125,5.27,1.68,1.73,4.93,6.16,6.0,6.05,0.1773049645390071,0.09645390070921986,0.9473684210526315,0.08085106382978724
12515,보우덴,2016,16 P,30,30,180.0,742,18,7,0,0,159,17,54,160,3.8,1.18,4.78,4.18,4.15,4.07,4.4,0.215633423180593,0.07277628032345014,0.85,0.14285714285714285
12568,이영하,2019,19 P,29,27,163.1,692,17,4,0,0,148,5,61,90,3.64,1.28,3.99,4.12,3.86,3.61,3.74,0.13005780346820808,0.08815028901734104,0.27590435315757206,0.041907514450867045
12852,최원준,2021,21 P,29,29,158.1,673,12,4,0,0,160,15,37,113,3.3,1.24,4.31,4.01,3.69,3.54,3.75,0.16790490341753342,0.0549777117384844,0.8538899430740038,0.11292719167904902
12852,최원준,2022,22 P,30,30,165.0,713,8,13,0,0,183,21,37,113,3.6,1.33,2.73,4.41,4.36,4.18,4.35,0.1584852734922861,0.051893408134642355,1.1454545454545455,0.10659186535764376
12908,손주영,2024,24 P,28,27,144.2,637,9,10,0,1,157,11,54,112,3.79,1.46,3.78,4.62,4.42,4.06,4.26,0.17582417582417584,0.0847723704866562,0.6865464632454924,0.09105180533751964
12908,손주영,2025,25 P,30,27,153.0,644,11,6,0,0,153,8,49,132,3.41,1.32,3.82,3.49,3.94,3.69,3.85,0.20496894409937888,0.07608695652173914,0.47058823529411764,0.12888198757763975
12949,팻딘,2017,17 P,30,29,176.0,770,9,7,0,0,211,22,39,143,4.14,1.42,4.36,4.61,4.4,4.33,4.41,0.18571428571428572,0.05064935064935065,1.125,0.13506493506493505
12959,로치,2017,17 P,28,28,165.0,743,4,15,0,0,200,18,60,99,4.69,1.58,2.35,5.38,5.78,5.58,5.44,0.13324360699865412,0.08075370121130551,0.9818181818181818,0.052489905787348606
12992,브리검,2017,17 P,24,24,144.0,619,10,6,0,0,166,17,26,98,4.38,1.33,3.23,4.75,4.81,4.74,4.72,0.1583198707592892,0.0420032310177706,1.0625,0.1163166397415186
12992,브리검,2018,18 P,31,30,199.0,829,11,7,0,1,188,19,50,175,3.84,1.2,6.13,4.36,4.03,3.93,4.07,0.21109770808202655,0.06031363088057901,0.8592964824120602,0.15078407720144754
12992,브리검,2019,19 P,28,28,158.1,669,13,5,0,0,148,5,46,130,2.96,1.23,4.28,3.27,3.52,3.46,3.55,0.19431988041853512,0.0687593423019432,0.28462998102466797,0.12556053811659193
13058,후랭코프,2018,18 P,28,28,149.1,621,18,3,0,0,118,12,55,134,3.74,1.16,4.72,4.66,3.86,3.79,3.96,0.21578099838969403,0.08856682769726248,0.7243460764587526,0.12721417069243154
13061,곽빈,2022,22 P,27,27,147.2,645,8,9,0,0,143,13,60,138,3.78,1.37,2.8,3.99,4.21,3.95,4.13,0.21395348837209302,0.09302325581395349,0.7948369565217392,0.12093023255813953
13061,곽빈,2024,24 P,30,30,167.2,716,15,9,0,0,142,11,76,154,4.24,1.3,4.39,4.21,4.46,4.12,4.24,0.21508379888268156,0.10614525139664804,0.5921052631578948,0.10893854748603352
13062,윌슨,2018,18 P,26,26,170.0,689,9,4,0,0,158,11,35,149,3.07,1.14,6.28,3.66,3.34,3.25,3.4,0.216255442670537,0.05079825834542816,0.5823529411764706,0.16545718432510886
13062,윌슨,2019,19 P,30,30,185.0,763,14,7,0,0,171,7,44,137,2.92,1.16,4.09,3.23,3.75,3.61,3.93,0.17955439056356487,0.057667103538663174,0.34054054054054056,0.1218872870249017
13062,윌슨,2020,20 P,25,25,144.2,628,10,8,0,0,161,13,39,109,4.42,1.38,2.26,4.19,5.04,4.91,5.16,0.1735668789808917,0.06210191082802548,0.8113730929264911,0.11146496815286623
13063,산체스,2018,18 P,29,26,145.1,632,8,8,0,1,161,26,39,124,4.89,1.38,2.43,5.3,5.57,5.48,5.33,0.1962025316455696,0.061708860759493674,1.6126809097174364,0.13449367088607594
13063,산체스,2019,19 P,28,28,165.0,671,17,5,0,0,151,2,42,148,2.62,1.17,5.74,2.54,2.78,2.68,2.77,0.22056631892697467,0.06259314456035768,0.10909090909090909,0.157973174366617
13064,아델만,2018,18 P,31,31,171.0,758,8,12,0,0,202,20,54,137,5.05,1.5,3.5,4.91,5.32,5.24,5.05,0.18073878627968337,0.0712401055408971,1.0526315789473684,0.10949868073878627
13066,베렛,2018,18 P,29,29,155.0,698,6,10,0,0,178,24,59,144,5.28,1.53,2.54,5.23,5.46,5.35,5.33,0.20630372492836677,0.08452722063037249,1.3935483870967742,0.12177650429799428
13068,샘슨,2018,18 P,30,29,161.2,703,13,8,0,0,144,17,79,195,4.68,1.38,3.07,4.19,5.07,4.99,5.13,0.2773826458036984,0.112375533428165,0.9491315136476427,0.16500711237553342
13085,신민혁,2021,21 P,30,25,145.0,625,9,6,0,0,155,17,44,107,4.41,1.37,2.8,4.36,4.66,4.52,4.46,0.1712,0.0704,1.0551724137931036,0.10079999999999999
13091,안우진,2022,22 P,30,30,196.0,766,15,8,0,0,131,4,55,224,2.11,0.95,7.77,2.09,2.34,2.33,2.36,0.2924281984334204,0.07180156657963446,0.1836734693877551,0.22062663185378592
13091,안우진,2023,23 P,24,24,150.2,608,9,7,0,0,121,5,38,164,2.39,1.06,5.94,2.33,2.63,2.46,2.5,0.26973684210526316,0.0625,0.29960053262316916,0.20723684210526316
13156,최채흥,2020,20 P,26,26,146.0,617,11,6,0,0,131,12,51,123,3.58,1.25,4.29,4.1,4.13,3.99,3.75,0.1993517017828201,0.08265802269043761,0.7397260273972602,0.1166936790923825
13167,김민,2019,19 P,27,26,150.2,674,6,12,0,0,175,16,65,91,4.96,1.59,1.68,4.98,5.26,5.11,5.06,0.13501483679525222,0.09643916913946587,0.9587217043941412,0.03857566765578635
13178,보니야,2018,18 P,29,29,168.0,752,7,10,0,0,193,23,63,151,5.3,1.52,3.08,5.11,5.95,5.63,5.28,0.20079787234042554,0.08377659574468085,1.2321428571428572,0.11702127659574468
13924,윌랜드,2019,19 P,28,28,165.0,726,8,10,0,0,191,17,59,137,4.75,1.52,1.86,4.14,5.18,4.99,4.95,0.1887052341597796,0.081267217630854,0.9272727272727272,0.10743801652892561
13925,터너,2019,19 P,28,28,153.1,714,7,13,0,0,179,12,58,121,5.46,1.55,0.06,4.28,6.28,6.16,6.24,0.16946778711484595,0.08123249299719888,0.705421293272371,0.08823529411764706
13932,루친스키,2019,19 P,30,30,177.1,731,9,9,0,0,164,13,45,119,3.05,1.18,5.31,3.98,3.45,3.31,3.23,0.16279069767441862,0.06155950752393981,0.660643704121965,0.10123119015047881
13932,루친스키,2020,20 P,30,30,183.0,770,19,5,0,0,173,14,57,167,3.05,1.26,6.97,3.78,3.3,3.11,3.03,0.21688311688311687,0.07402597402597402,0.6885245901639344,0.14285714285714285
13932,루친스키,2021,21 P,30,30,178.2,754,15,10,0,0,160,12,55,177,3.17,1.2,4.96,3.22,3.83,3.73,3.64,0.23474801061007958,0.07294429708222812,0.6060606060606061,0.16180371352785144
13932,루친스키,2022,22 P,31,31,193.2,797,10,12,0,0,184,14,34,194,2.97,1.13,4.99,2.8,3.58,3.49,3.49,0.24341279799247176,0.04265997490589712,0.6521739130434783,0.20075282308657463
13933,다익손,2019,19 P,29,28,149.1,649,6,10,0,0,164,15,40,117,4.34,1.37,2.29,4.0,4.88,4.69,4.54,0.1802773497688752,0.061633281972265024,0.9054325955734407,0.11864406779661016
