age,n,delta_BB_pct,se_delta_BB_pct,delta_K_pct,se_delta_K_pct,delta_HR_pct,se_delta_HR_pct,delta_ISO,se_delta_ISO,delta_wOBA,se_delta_wOBA,delta_OBP,se_delta_OBP,delta_SLG,se_delta_SLG,delta_BB_pct_smooth,delta_K_pct_smooth,delta_HR_pct_smooth,delta_ISO_smooth,delta_wOBA_smooth,delta_OBP_smooth,delta_SLG_smooth
32,32,0.007635306467394377,0.003245932857602238,-0.0016615381527787776,0.005102582571463022,-0.0033070092137692637,0.0022916051630543356,-0.011489722776901861,0.0073651776444204585,-0.008922478415167514,0.005600416474019243,-0.002855452771155601,0.005228631146806479,-0.02121486197071399,0.010337329590591377,0.0017952741799051389,8.843484247085733e-05,-0.0016669776672715235,-0.0075262911122824265,-0.0065110958145053995,-0.003979535454645778,-0.013587527183249152
33,24,0.002210311880863486,0.004074580074316786,0.006396541961495256,0.004374565775345502,-0.0026497799676655736,0.002112210624930825,-0.010619374503426475,0.007780032777832917,-0.008868339759710494,0.0059395487871388535,-0.0062863219229023675,0.005431279063952745,-0.018190658318091205,0.010834611825339988,0.005229165459500254,0.0013093072520148907,-0.004083759982300555,-0.014011040281159315,-0.00867289973734428,-0.002721830715311077,-0.021454401473582865
34,22,0.005841878030242898,0.0052543985529219924,-0.000807082052671805,0.005470644532473187,-0.006294490765466828,0.003081256288421281,-0.01992402356314962,0.010653928775203419,-0.008227881037154836,0.0064901484579467685,0.0009762825481247349,0.005882658162787679,-0.0249576841319434,0.013025060608563377,-0.0009603709135646184,0.007001384169265569,-0.0019656123377510878,-0.004859157784474324,-0.004856483982650741,-0.003888928023362942,-0.008193172744949873
35,16,-0.010933302651800238,0.0037330751184753283,0.015414692598973255,0.009435262952786171,0.0030474337198791385,0.0034117058218026118,0.015965924713153116,0.011773513706621316,0.0025267688489131047,0.009554260779232918,-0.006356744695311198,0.0068105119423334595,0.018568824215184986,0.019456675964391587,0.00028315589209557704,0.0030428022107020975,-0.0023446079520437093,-0.010019858790652527,-0.008119991941283218,-0.005035509787549961,-0.015766799982411407
36,10,0.005940892297844072,0.00734499951787227,-0.0054792039141951555,0.00748137328582646,-0.003786766810543438,0.006202614724640089,-0.026101477521961087,0.021241704263076432,-0.018658863635607925,0.017367942086524594,-0.009726067215463425,0.013530582643281362,-0.040911540030475806,0.03281300555166096,-6.192085526536348e-05,0.008947288143058988,-0.0002383426522413245,-0.0008722900508719734,-0.0040378859502828825,-0.004559294661810723,-0.0040871591501496635
37,6,0.004806647788160076,0.0050419047313283154,0.016906375744398867,0.00966470276937813,2.4305133940326002e-05,0.0034144462109105046,0.007518682656192045,0.015497670075781657,0.004018436935846169,0.010570181372366653,0.00240492792534245,0.007424059985389853,0.010081238364841828,0.0211481546344934,-0.0028712093560265147,0.003160530464430491,-0.0005909280753775632,-0.003744363536183714,-0.0058549187655109235,-0.005754849309320415,-0.008017512558578604
38,5,-0.019361168154083692,0.005851480864703494,-0.0019455804369122346,0.01038874139696552,0.0019896774504704223,0.005158893747870153,0.007349704257217894,0.018773385416594426,-0.002924329596771016,0.01365439154857231,-0.009943408637840273,0.015506127820961625,0.006777763989898161,0.023581772622090984,-0.007277260182961809,0.007480397653743314,0.001006991292205374,0.007434193456704973,0.000547053669537577,-0.00376924035624891,0.008429501177369996
39,4,,,,,,,,,,,,,,,,,,,,,
40,3,,,,,,,,,,,,,,,,,,,,,
48,1,,,,,,,,,,,,,,,,,,,,,
49,1,,,,,,,,,,,,,,,,,,,,,
50,1,,,,,,,,,,,,,,,,,,,,,
51,1,,,,,,,,,,,,,,,,,,,,,
